PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ULOTOMIA,,,Seg. Odontológica,,,,,,,BOCA,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE LINGUA (COM DIRETRIZ DE UTILIZACAO),,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,84.0,LINGUA,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
FRENOTOMIA/FRENULOTOMIA LINGUAL,,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LINGUA,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
FRENULECTOMIA LINGUAL,,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LINGUA,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
GLOSSECTOMIA COM MANDIBULECTOMIA E ESVAZIAMENTO CERVICAL E RECONSTRUCAO A CUSTA DE RETALHOS OSTEOMIOCUTANEOS,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LINGUA,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
GLOSSECTOMIA COM PELVECTOMIA E ESVAZIAMENTO CERVICAL COM OU SEM RECONSTRUCAO A CUSTA DE RETALHOS DE PELE,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LINGUA,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
TUMOR DE LINGUA - TRATAMENTO CIRURGICO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LINGUA,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
BIOPSIA DE GLANDULA SALIVAR (COM DIRETRIZ DE UTILIZACAO),,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,82.0,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXCISAO COM OU SEM RECONSTRUCAO A CUSTA DE RETALHOS DE GLANDULAS SALIVARES,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXENTERACAO + PAROTIDECTOMIA E ESVAZIAMENTO CERVICAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE OU EXCISAO DE CALCULO SALIVAR,,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE OU EXCISAO DE MUCOCELE,,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE OU EXCISAO DE RANULA,,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE RANULA OU MUCOCELE,,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
PLASTIA DE DUCTO SALIVAR OU EXERESE DE CALCULO OU DE RANULA SALIVAR,,,Seg. Odontológica,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE TUMOR E ENXERTO LIVRE,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"EXERESE INCLUINDO PELE, CARTILAGEM COM RECONSTRUCAO A CUSTA DE RETALHOS",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
PAROTIDECTOMIA PARCIAL OU TOTAL COM OU SEM RECONSTRUCAO OU CONSERVACAO DO NERVO FACIAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
PAROTIDECTOMIA TOTAL COM RESSECCAO DO RAMO ASCENDENTE DA MANDIBULA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
PLASTIA DE DUCTO SALIVAR,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE GLANDULA SALIVAR COM OU SEM ESVAZIAMENTO CERVICAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,GLANDULAS SALIVARES,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
ADENO-AMIGDALECTOMIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
ADENOIDECTOMIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
ADENOIDECTOMIA POR VIDEOENDOSCOPIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
AMIGDALECTOMIA DAS PALATINAS,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
AMIGDALECTOMIA LINGUAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"BIOPSIA DO CAVUM, OROFARINGE OU HIPOFARINGE",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
CAUTERIZACAO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
CRIPTOLISE AMIGDALIANA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
FARINGOLARINGECTOMIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
FARINGOLARINGOESOFAGECTOMIA COM OU SEM ESVAZIAMENTO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE NASOANGIOFIBROMA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE BOCA OU FARINGE,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE FARINGE (VIA BUCAL OU NASAL),,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE FARINGE COM ACESSO POR FARINGOTOMIA OU POR RETALHO JUGAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE FARINGE COM OU SEM MANDIBULECTOMIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE FARINGE POR MANDIBULOTOMIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE NASOFARINGE VIA ENDOSCOPICA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO DE TUMOR DE RINOFARINGE (VIA TRANSPALATINA OU TRANSMAXILAR),,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RESSECCAO OU DRENAGEM DE ABSCESSO FARINGEO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"RETIRADA DE CORPO ESTRANHO DE FARINGE, COM OU SEM ANESTESIA GERAL",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
UVULOPALATOFARINGOPLASTIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,FARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
ALARGAMENTO DE TRAQUEOSTOMIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
ARITENOIDECTOMIA MICROCIRURGICA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
ARITENOIDECTOMIA OU ARITENOPEXIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
CONFECCAO DE FISTULA TRAQUEO-ESOFAGICA PARA PROTESE FONATORIA COM MIOTOMIA FARINGEA - INCLUI A PROTESE FONATORIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
EXERESE DE TUMOR POR VIA ENDOSCOPICA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"EXERESE DE TUMOR POR VIA ENDOSCOPICA, COM LASER",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
INJECAO INTRALARINGEA DE TOXINA BOTULINICA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
LARINGECTOMIA PARCIAL OU TOTAL COM OU SEM ESVAZIAMENTO CERVICAL COM OU SEM RECONSTRUCAO POR RETALHOS,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
LARINGOFISSURA (INCLUSIVE COM CORDECTOMIA),,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
LARINGOSCOPIA DIRETA PARA DIAGNOSTICO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
LARINGOTRAQUEOPLASTIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
MICROCIRURGIA COM LASER PARA RESSECCAO DE LESOES BENIGNAS OU MALIGNAS,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
MICROCIRURGIA PARA DECORTICACAO OU TRATAMENTO DE EDEMA DE REINKE,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
MICROCIRURGIA PARA REMOCAO DE CISTO OU LESAO INTRACORDAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"MICROCIRURGIA PARA REMOCAO E/OU RESSECCAO DE TUMOR, POLIPO, NODULO, GRANULOMA OU OUTRA LESAO",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
MICROCIRURGIA PARA TRATAMENTO DE PARALISIA DE PREGA VOCAL (INCLUI INJECAO DE MATERIAIS),,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RECONSTRUCAO PARA FONACAO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
TIROPLASTIA COM OU SEM ROTACAO DE ARITENOIDE,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DA ESTENOSE LARINGO-TRAQUEAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO CIRURGICO DE TRAUMA LARINGEO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO ENDOSCOPICO DA ESTENOSE LARINGEA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,LARINGE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
FRATURA COMINUTIVA DE MANDIBULA - REDUCAO CIRURGICA COM FIXACAO OSSEA E BLOQUEIO INTERMAXILAR EVENTUAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"FRATURA LEFORT I , II OU III- FIXACAO CIRURGICA COM SINTESE OSSEA, LEVANTAMENTO CRANIO-MAXILA E BLOQUEIO INTERMAXILAR EVENTUAL",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
FRATURA SIMPLES OU COMPLEXA DE MANDIBULA - REDUCAO CIRURGICA COM FIXACAO OSSEA E BLOQUEIO INTERMAXILAR EVENTUAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
REDUCAO DE FRATURA DO ARCO ZIGOMATICO COM OU SEM FIXACAO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
REDUCAO DE FRATURA DE SEIO FRONTAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
REDUCAO DE FRATURA DO MALAR COM OU SEM FIXACAO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
REDUCAO DE FRATURAS DE CONDILO MANDIBULAR,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
REDUCAO INCRUENTA DE FRATURA DE MANDIBULA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
RETIRADA DOS MEIOS DE FIXACAO (NA FACE),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"TRATAMENTO DE FRATURA DE MANDIBULA COM OU SEM CONTENCAO, FIXACAO OSSEA E BLOQUEIO INTERMAXILAR EVENTUAL",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"TRATAMENTO DE FRATURA DE MAXILA, REDUCAO CIRURGICA COM FIXACAO OSSEA OU APLICACAO DE LEVANTAMENTO ZIGOMATICO MAXILAR E BLOQUEIO INTERMAXILAR EVENTUAL",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO DE FRATURA NASO-ORBITO-ETMOIDAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
TRATAMENTO DE FRATURAS ALVEOLARES FIXACAO COM APARELHO E CONTENCAO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"TRATAMENTO DE FRATURAS MULTIPLAS E/OU COMPLEXAS DO TERCO MEDIO DA FACE, FIXACAO CIRURGICA COM SINTESE OSSEA, LEVANTAMENTO CRANIO MAXILAR, BLOQUEIO INTERMAXILAR, ENXERTO OSSEO E HALO CRANIANO EVENTUAL",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,TRAUMA CRANIO-MAXILO-FACIAL,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
CORRECAO CIRURGICA DE DEPRESSAO (AFUNDAMENTO) DA REGIAO FRONTAL,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
HEMIMANDIBULECTOMIA COM OU SEM ENXERTO OSSEO COM OU SEM COLOCACAO DE PROTESE,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
"OSTEOPLASTIA PARA PROGNATISMO, MICROGNATISMO OU LATEROGNATISMO",,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOPLASTIAS DA ORBITA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOPLASTIAS DE MANDIBULA/MAXILA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOPLASTIAS DO ARCO ZIGOMATICO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOPLASTIAS ETMOIDO ORBITAIS,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIA CRANIO-MAXILARES,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIA E OSTEOPLASTIA DE MANDIBULA PARA LATEROGNATISMO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
OSTEOTOMIAS ALVEOLO PALATINAS,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,CIRURGIA REPARADORA E FUNCIONAL DA FACE,CABECA E PESCOCO,PROCEDIMENTOS CIRURGICOS E INVASIVOS
